NK,sex,skull_oss,bursa_size,bursa,molt,fat,mass,supra,pect,heart,order,family,species,day,month,year,locality,elev,elev_cat,country,lat_deg,lat_min,lon_deg,lon_min,tHb,tHbcorr,hct1_column,hct1_top,hct1_bottom,Hct-middle-calculated,Hct-ratio,hct2_column,hct2_top,hct2_bottom,2ndHct-middle-calculated,2nd_Hct_ratio,wtAVG-Hct,Hemacytometer_RBC_sum_of_5grids,count notes,x5x,x10000,x200_dilution,RBCx10^6mm^3,MCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251356,male,100,none,0,molt on body(back) legs and neck,trace,16.36,0.09,0.674,0.196,Passeriformes,Furnariidae,Phleocryptes melanops,26,March,2015,Viscachuni,3828,h,Peru,15,48.406,69,59.503,17.5,16.5,30.1,18.39,14.46,16.425,0.545681063,NA,NA,NA,NA,NA,NA,406,,2030,20300000,4060000000,4.06,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278519,male,30,none,0,none,trace,13.12,0.09,0.764,0.2,Passeriformes,Furnariidae,Phleocryptes melanops,7,December,2017,Puerto Morin,-1,l,Peru,8,25.597,78,54.225,20.4,19.4,24.25,16.84,12.77,14.805,0.610515464,21.97,14.55,10.91,12.73,0.579426491,0.595737776,458,,2290,22900000,4580000000,4.58,130.0737502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,49 min,,whole blood saved?
278535,male,30,no,0,si leve,moderado,14.66,0.088,0.826,0.144,Passeriformes,Furnariidae,Phleocryptes melanops,11,December,2017,Laguna Napique,4,l,Peru,5,31.028,80,42.225,16.5,15.5,30.11,15.36,12.68,14.02,0.465626038,30.06,14.52,12.64,13.58,0.45176314,0.458700349,347,,1735,17350000,3470000000,3.47,132.1903023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,50 min,,whole blood saved wrong NK on tube should be 278535
278521,female,20,none,0,trace body molt,light,12.15,0.086,0.628,0.178,Passeriformes,Furnariidae,Phleocryptes melanops,7,December,2017,Puerto Morin,0,l,Peru,8,25.6,78,54.249,16.7,15.7,42.76,20.24,17.48,18.86,0.441066417,48.18,23.21,20.59,21.9,0.454545455,0.448207609,341,,1705,17050000,3410000000,3.41,131.4391816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,20 min,,whole blood saved
278507,female,10,not found,0,light body,moderate ,12.31,0.086,0.628,0.17,Passeriformes,Furnariidae,Phleocryptes melanops,6,December,2017,Puerto Morin,0,l,Peru,8,25.597,78,54.225,18.7,17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,590,,2950,29500000,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,40 min,,"bad spin!!!, whole blood saved"
251503,male,50,no,0,none,moderado,14.28,0.086,0.728,0.164,Passeriformes,Furnariidae,Phleocryptes melanops,14,July,2016,Playa de Puerto Viejo,1,l,Peru,12,34.495,76,42.208,15.6,14.6,42.58,19.67,18.39,19.03,0.446923438,41.75,19.71,17.54,18.625,0.446107784,0.446519625,NA,,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278540,female,20,6 x 4 mm,1,trace body,moderate,12.85,0.084,0.628,0.134,Passeriformes,Furnariidae,Phleocryptes melanops,11,December,2017,Laguna Napique,6,l,Peru,5,31.026,80,42.232,17.7,16.7,28.14,18.4,10.24,14.32,0.508884151,24.9,13.43,11.32,12.375,0.496987952,0.503299397,570,,2850,28500000,5700000000,5.7,88.29813977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,30 min,,
251529,male,10,none,0,"P 1-2 in sheath left; P 1, S 1 in sheath right; undertail coverts in molt; light body /head molt",light,16.06,0.084,0.75,0.19,Passeriformes,Furnariidae,Phleocryptes melanops,12,January,2017,Ondores,4060,h,Peru,11,3.298,76,9.394,18.8,17.8,47.44,26.49,23.99,25.24,0.532040472,41,23.83,20.77,22.3,0.543902439,0.537539575,499,,2495,24950000,4990000000,4.99,107.7233617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251815,female,10,none,0,moderate body head,trace,12.16,0.082,0.528,0.126,Passeriformes,Furnariidae,Phleocryptes melanops,18,July,2015,Patamo de Ite,3,l,Peru,17,55.483,70,56.302,16.1,15.1,41.22,18.33,16.74,17.535,0.425400291,31.07,14.75,13.43,14.09,0.453492115,0.437474063,376,,1880,18800000,3760000000,3.76,116.3494848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278517,male,10,3 x 3 mm,1,trace body,light,14.11,0.082,0.732,0.18,Passeriformes,Furnariidae,Phleocryptes melanops,7,December,2017,Puerto Morin,0,l,Peru,8,25.6,78,54.249,14.7,13.7,17.23,8.9,5.14,7.02,0.407428903,24.07,11.58,8.19,9.885,0.410677192,0.409322034,343,,1715,17150000,3430000000,3.43,119.3358699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,40 min,,
