NK,sex,skull_oss,bursa_size,bursa,molt,fat,mass,supra,pect,heart,order,family,species,day,month,year,locality,elev,elev_cat,country,lat_deg,lat_min,lon_deg,lon_min,tHb,tHbcorr,hct1_column,hct1_top,hct1_bottom,Hct-middle-calculated,Hct-ratio,hct2_column,hct2_top,hct2_bottom,2ndHct-middle-calculated,2nd_Hct_ratio,wtAVG-Hct,Hemacytometer_RBC_sum_of_5grids,count notes,x5x,x10000,x200_dilution,RBCx10^6mm^3,MCV
171662,male,100% ossified,bursa (mm): 2x1,1,wing molt p7-9; tail molt r3-6; light body molt,light,25.91,,,0.266,Passeriformes,Passerellidae,Zonotrichia capensis,15,July,2010,Carhuaz,3439,,,9,34.327,77,50.847,,,,,,,,,,,,,,,,,,,,
168350,male,100% ossified,bursa (mm): 2x1,1,no molt,no,22.35,,,,Passeriformes,Passerellidae,Zonotrichia capensis,13,March,2009,Cordillera Vilcanota,3835,,,13,11.285,72,13.882,20.3,19.3,39.72,22.31,20.48,21.395,0.538645519,32.86,18.52,16.5,17.51,0.532866707,0.536029209,,,,,,8.94,59.95852451
168335,male,30% ossified,bursa (mm): 2x1,1,no molt,si,24.25,,,,Passeriformes,Passerellidae,Zonotrichia capensis,11,March,2009,Cordillera Vilcanota,3835,,,13,11.285,72,13.882,18.6,17.6,30.75,25.5,13.98,19.74,0.64195122,32.52,16.66,13.93,15.295,0.470325953,0.553737948,,,,,,,
163029,male,50% ossified,bursa (mm): 2x2,1,no molt,poco,19,,,,Passeriformes,Passerellidae,Zonotrichia capensis,8,January,2008,Huachipa-Choclo,372,,,12,0.089,76,55.249,16.1,15.1,35.1,14.84,13.19,14.015,0.399287749,23.83,10.49,7.95,9.22,0.38690726,0.394281351,,,,,,4.5,87.61807795
171784,male,100% ossified,bursa (mm): 2x2,1,No molt anywhere,moderate,21.23,,,0.27,Passeriformes,Passerellidae,Zonotrichia capensis,1,August,2010,Locumba,740,,,17,33.6817,70,40.3417,,,,,,,,,,,,,,,,,,,,
163326,male,100% ossified,bursa (mm): 3x1,1,si,si,12.8,,,,Passeriformes,Troglodytidae,Troglodytes aedon,5,May,2007,Chinchaycocha,3620,,,11,45.646,76,34.06,,,,,,,,,,,,,,,,,,,,
163030,male,70% ossified,bursa (mm): 3x2,1,no molt,si,20.8,,,,Passeriformes,Passerellidae,Zonotrichia capensis,8,January,2008,Huachipa-Choclo,372,,,12,0.089,76,55.249,17.3,16.3,51.92,25.36,23.04,24.2,0.466101695,50.92,24.73,22.55,23.64,0.464257659,0.465188643,,,,,,5.15,90.32789176
163440,male,100% ossified,bursa (mm): 3x2,1,no molt,moderate,25.2,,,,Passeriformes,Passerellidae,Zonotrichia capensis,24,May,2008,Opica,2411,,,11,44.65,76,36.53,,,36.35,19.59,17.73,18.66,0.513342503,34.82,19.3,17,18.15,0.521252154,0.517297329,,,,,,,
278580,male,,,,,,11.24,,,,Passeriformes,Troglodytidae,Troglodytes aedon,17,December,2017,Hotel San Marcelo,561,,,14,49.956,74,57.479,,,,,,,,,,,,,,,,,,,,
278560,female,,,,,,11.67,,,,Passeriformes,Troglodytidae,Troglodytes aedon,15,December,2017,Hotel San Marcelo,561,,,14,49.956,74,57.479,,,,,,,,,,,,,,,,,,,,
278569,male,,,,,,22.8,,,,Passeriformes,Passerellidae,Zonotrichia capensis,16,December,2017,Hotel San Marcelo,561,,,14,49.956,74,57.479,,,,,,,,,,,,,,,,,,,,
278564,male,,,,,,23.83,,,,Passeriformes,Passerellidae,Zonotrichia capensis,15,December,2017,Hotel San Marcelo,561,,,14,49.956,74,57.479,,,,,,,,,,,,,,,,,,,,
168318,male,100% ossified,bursa (mm): 3x2,1,no molt,si moderado,24.12,,,,Passeriformes,Passerellidae,Zonotrichia capensis,10,March,2009,Cordillera Vilcanota,3835,,,13,11.285,72,13.882,22.3,21.3,43.65,26.59,24.04,25.315,0.579954181,40.59,24.08,22.04,23.06,0.568120227,0.574252137,,,,,,,
169297,female,90% ossified,bursa (mm): 4.0x3.0mm,1,trace body/head molt,trace,18.68,,,0.216,Passeriformes,Passerellidae,Zonotrichia capensis,23,December,2009,,2170,,,5,50.4,79,30.32,,,,,,,,,,,,,,,,,,,,
220229,male,100% ossified,bursa (mm): 4.9x3.5 mm,1,heavy wing molt,medium fat,10.2,,,,Passeriformes,Troglodytidae,Troglodytes aedon,15,July,2006,SE1,2390,,,11,44.65,76,36.53,,,,,,,,,,,,,,,,,,,,
171783,female,100,,,no molt,none,11.87,,,0.144,Passeriformes,Troglodytidae,Troglodytes aedon,1,August,2010,Locumba,740,,,17,33.6817,70,40.3417,13.6,12.6,26.26,11.67,9.36,10.515,0.400418888,22.3,10.52,8.6,9.56,0.428699552,0.413406096,,,,,,,
163478,female,80% ossified,bursa (mm): 4x2,1,no molt,moderate,20.7,,,,Passeriformes,Passerellidae,Zonotrichia capensis,14,June,2008,Mantaro Valley,2080,,,12,1,74,51,,,36.74,17.44,16.24,16.84,0.458356015,33.96,16.6,14.87,15.735,0.463339223,0.460847619,,,,,,,
163217,male,100% ossified,bursa (mm): 4x2,1,yes,yes,,,,,Passeriformes,Passerellidae,Zonotrichia capensis,27,December,2006,Chinchaycocha,3800,,,11,45.646,76,34.06,,,,,,0,,,,,0,,,,,,,,,
218555,female,80% ossified,bursa (mm): 4x2.5mm,1,"abundant body, head, and tail molt; light wing molt",moderate,19.53,0.138,1.118,0.208,Passeriformes,Passerellidae,Zonotrichia capensis,22,June,2012,Chontali,2530,,,5,34.925,79,9.608,15.3,14.3,25.37,13.31,10.93,12.12,0.477729602,37.84,19,17.35,18.175,0.480311839,0.479275431,,,,,,,
168837,male,100% ossified,bursa (mm): 4x3 mm,1,no molt,moderado,21.1,,,,Passeriformes,Passerellidae,Zonotrichia capensis,22,November,2009,,1980,,,13,30.919,70,53.76,,,,,,,,,,,,,,,,,,,,
175534,male,60% ossified,bursa (mm): 5 x 5 mm,1,no molt,si moderado,20,0.138,1.344,0.212,Passeriformes,Passerellidae,Zonotrichia capensis,26,October,2011,San Pedro de Casta,4142,,,11,46.038,76,31.486,,,55.61,28.9,27.76,28.33,0.509440748,57.61,30.74,28.25,29.495,0.511977087,0.51073132,,,,,,,
163031,male,100% ossified,bursa (mm): 5x3,1,no molt,none,24.3,,,,Passeriformes,Passerellidae,Zonotrichia capensis,8,January,2008,Huachipa-Choclo,372,,,12,0.089,76,55.249,17.9,16.9,48.22,23.78,21.62,22.7,0.470759021,29.14,14.64,12.27,13.455,0.461736445,0.467360393,,,,,,4.87,95.96722648
163483,male,40% ossified,bursa (mm): 5x4,1,head and back,light,22.4,,,,Passeriformes,Passerellidae,Zonotrichia capensis,16,June,2008,Mantaro Valley,2080,,,12,1,74,51,,,53.28,26.65,23.62,25.135,0.471753003,43.41,21.75,19.52,20.635,0.475351302,0.473552152,,,,,,,
171887,female,10% ossified,bursa (mm): 5x4,1,moderada,leve,18.69,,,0.18,Passeriformes,Passerellidae,Zonotrichia capensis,9,July,2010,Bosque Cachil,2500,,,7,23.882,78,46.696,15.5,14.5,24.37,12.9,10.21,11.555,0.474148543,41.83,21.33,18.44,19.885,0.475376524,0.474924471,,,,,,,
168344,male,40% ossified,bursa (mm): 5x4,1,no molt,si abundante,21.96,,,,Passeriformes,Passerellidae,Zonotrichia capensis,12,March,2009,Cordillera Vilcanota,3835,,,13,11.285,72,13.882,19.3,18.3,45.1,23.73,21.4,22.565,0.500332594,38.49,20.69,18.96,19.825,0.515068849,0.507118076,,,,,,5.67,89.43881417
168665,female,80% ossified,bursa (mm): 5x4,1,no molt,leve,20.6,,,,Passeriformes,Passerellidae,Zonotrichia capensis,26,September,2009,San Pedro de Casta - Potago,4140,,,11,46.175,76,31.916,18.4,17.4,31.71,17.19,15.68,16.435,0.51829076,32.36,17.89,15.79,16.84,0.52039555,0.519353832,,,,,,4.63,112.1714539
175537,female,50% ossified,bursa (mm): 6 x 3,1,no molt,si moderado,21,0.132,1.304,0.224,Passeriformes,Passerellidae,Zonotrichia capensis,27,October,2011,San Pedro de Casta,4142,,,11,46.038,76,31.486,,,52.37,28.86,26.29,27.575,0.526541913,43.83,23.98,21.67,22.825,0.520762035,0.523908524,,,,,,,
171748,male,15% ossified,bursa (mm): 6.5x5,1,"l wing-P6-5 molting, r wing-P5 molting, l tail-R6, R4-3, R1 molting, r tail-R1 molting, moderate body/neck/head molt",trace,24.01,,,0.246,Passeriformes,Passerellidae,Zonotrichia capensis,22,July,2010,Caraz,3714,,,9,6.0583,77,51.9333,17.6,16.6,42.42,25.53,24.86,25.195,0.593941537,35.27,20.36,20.41,20.385,0.577969946,0.586690694,,,,,,,
168712,female,50% ossified,bursa (mm): 6x3,1,moderado,moderado,19.1,,,,Passeriformes,Passerellidae,Zonotrichia capensis,1,October,2009,San Pedro de Casta - Potago,4100,,,11,46.136,76,32.126,17.6,16.6,31.56,17.57,15.82,16.695,0.528992395,30.13,16.9,14.73,15.815,0.524892134,0.526989788,,,,,,5.89,89.47195036
162850,male,40% ossified,bursa (mm): 6x4,1,leve ,none,10.7,,,,Passeriformes,Troglodytidae,Troglodytes aedon,21,July,2007,Carhuayumac,3750,,,11,45.713,76,32.932,9.2,8.2,23.11,0.66,4.91,2.785,0.120510601,30.56,9.59,7.2,8.395,0.274705497,0.208310043,,,,,,2.66,78.31204619
168639,female,70% ossified,bursa (mm): 6x4,1,si abundante,si moderado,21.8,,,,Passeriformes,Passerellidae,Zonotrichia capensis,18,September,2009,San Pedro de Casta - Potago,4150,,,11,46.175,76,31.916,12.8,11.8,34.06,14.03,11.91,12.97,0.380798591,36.47,14.89,13.55,14.22,0.389909515,0.385509712,,,,,,3.58,107.6842771
168765,female,80% ossified,bursa (mm): 6x5 mm,1,"leve, gastado 9¼-3¼ P, no paiche inc. (?), part cloa: 2 (?)",leve,20,,,,Passeriformes,Passerellidae,Zonotrichia capensis,17,November,2009,,2292,,,13,32.864,70,53.341,,,,,,,,,,,,,,,,,,,,
163473,female,20% ossified,bursa (mm): 7x4,1,no molt,moderate,21.1,,,,Passeriformes,Passerellidae,Zonotrichia capensis,14,June,2008,Mantaro Valley,2080,,,12,1,74,51,,,41.41,22.59,20.43,21.51,0.519439749,35.59,19.76,17.3,18.53,0.520651869,0.520045809,,,,,,,
171730,male,10% ossified,bursa (mm): 7x4,1,no molt,light,26.29,,,0.266,Passeriformes,Passerellidae,Zonotrichia capensis,20,July,2010,Caraz,3714,,,9,6.0583,77,51.9333,15.7,14.7,22.75,13.16,10.12,11.64,0.511648352,29.67,17.24,13.97,15.605,0.52595214,0.519744372,,,,,,,
218586,unknown,0% ossified,bursa (mm): 7x5mm,1,abundante en cuerpo y cabeza,regular,18.05,0.074,0.982,0.182,Passeriformes,Passerellidae,Zonotrichia capensis,22,June,2012,Chontali,2530,,,5,34.925,79,9.608,17.8,16.8,22.07,12.62,10.15,11.385,0.515858632,21.79,12.71,9.92,11.315,0.519274897,0.51755586,,,,,,,
171746,female,10% ossified,bursa (mm): 7x6,1,light body molt,light,26.39,,,0.234,Passeriformes,Passerellidae,Zonotrichia capensis,21,July,2010,Caraz,3714,,,9,6.0583,77,51.9333,15.6,14.6,,,,,,,,,,,,,,,,,,
220439,male,10,none,0,no molt,none,10.44,0.054,0.538,0.088,Passeriformes,Troglodytidae,Troglodytes aedon,18,July,2014,Huayaringa,982,,,11,55.469,76,39.118,15,14,17.86,9.01,6.03,7.52,0.421052632,23.13,11.61,8.55,10.08,0.435797665,0.429373018,,,,,,,
220451,,100,none,0,"R6 on left in sheth, no body molt",trace,10.44,0.086,0.578,0.124,Passeriformes,Troglodytidae,Troglodytes aedon,19,July,2014,Huayaringa,987,,,11,55.484,76,39.121,,,,,,,,,,,,,,,,,,,,
162909,female,40% ossified,bursa (mm): 8.5x5,1,no molt,light,20.7,,,,Passeriformes,Passerellidae,Zonotrichia capensis,25,July,2007,Carhuayumac,3750,,,11,45.713,76,32.932,18.4,17.4,53.91,27.84,25.38,26.61,0.493600445,55.96,28.87,26.47,27.67,0.494460329,0.494038409,,,,,,4.84,102.0740515
163005,female,30% ossified,bursa (mm): 8x4 mm,1,si alar leve,si leve,21.82,,,,Passeriformes,Passerellidae,Zonotrichia capensis,8,January,2008,Huachipa-Choclo,372,,,12,0.089,76,55.249,,,,,,0,,,,,0,,,,,,,,,
171749,male,40% ossified,bursa (mm): 9x5,1,light molt,moderate,24.07,,,0.308,Passeriformes,Passerellidae,Zonotrichia capensis,22,July,2010,Caraz,3714,,,9,6.0583,77,51.9333,15.6,14.6,35.77,19.27,16.88,18.075,0.505311714,23.68,12.28,11.49,11.885,0.501900338,0.503952902,,,,,,,
162999,male,0% ossified,bursa 4 mm,1,right outer tail feather,trace,24.14,,,,Passeriformes,Passerellidae,Zonotrichia capensis,8,January,2008,Huachipa-Choclo,372,,,12,0.089,76,55.249,,,,,,0,,,,,0,,,,,,,,,
220423,male,100,n/a,,no molt,none,10.77,,,,Passeriformes,Troglodytidae,Troglodytes aedon,14,July,2014,El Huayco,351,,,12,0.532,76,55.436,14.8,13.8,,,,,,,,,,,,,,,,,,
220506,male ,100,none,0,none,trace,10.23,0.08,0.59,0.138,Passeriformes,Troglodytidae,Troglodytes aedon,27,July,2014,,1146,,,9,54.35,77,49.123,,,,,,,,,,,,,,,,,,,,
220433,male,100,n/a,,none,none,11.8,,,,Passeriformes,Troglodytidae,Troglodytes aedon,17,July,2014,El Huayco,353,,,12,0.527,76,55.228,9.2,8.2,,,,,,,,,,,,,,,,,,
171078,female,90,none,0,tail coverts in molt,trace,16,,,0.178,Passeriformes,Passerellidae,Zonotrichia capensis,3,June,2010,Quebrada,1500,,,12,39.114,72,19.416,13.8,12.8,30.85,12.86,10.63,11.745,0.380713128,30.67,11.99,10.4,11.195,0.365014672,0.372886866,,,,,,2.89,129.0265973
171070,female,90,none,0,none,none,17,,,0.246,Passeriformes,Passerellidae,Zonotrichia capensis,2,June,2010,Quebrada,1500,,,12,39.114,72,19.416,14.6,13.6,36.06,16.99,15.06,16.025,0.444398225,23.5,11,8.39,9.695,0.412553191,0.431833445,,,,,,2.36,182.9802734
171085,female,100,none,0,none,none,12,,,0.128,Passeriformes,Troglodytidae,Troglodytes aedon,3,June,2010,Quebrada,1500,,,12,39.114,72,19.416,15.1,14.1,35.84,17.35,14.54,15.945,0.444893973,34.96,16.93,14.37,15.65,0.447654462,0.446257062,,,,,,3.45,129.3498731
171021,male,100,none,0,none,trace,13,,,0.232,Passeriformes,Troglodytidae,Troglodytes aedon,30,May,2010,Quebrada,1500,,,12,39.114,72,19.416,17.4,16.4,24.73,11.75,10.88,11.315,0.457541448,21.73,11.56,9.99,10.775,0.49585826,0.475462764,,,,,,4.33,109.8066429
171079,male,100,none,0,few feathers on head-no molt but feathers very worn and ratty lookin ,none,19,,,0.254,Passeriformes,Passerellidae,Zonotrichia capensis,3,June,2010,Quebrada,1500,,,12,39.114,72,19.416,15.9,14.9,29.53,15.4,12.7,14.05,0.475787335,22.27,11.83,9.87,10.85,0.487202515,0.480694981,,,,,,3.77,127.5052999
168951,female,100,no,0,no molt,light fat,8.9,,,0.094,Passeriformes,Troglodytidae,Troglodytes aedon,15,December,2009,ca. 9.8 km N. of Olmos,133,,,5,53.7684,79,47.1132,16.3,15.3,33.81,17.46,14.59,16.025,0.473972198,27.6,14.62,12.61,13.615,0.493297101,0.482657548,,,,,,3.19,151.3033065
176264,male,60,no,0,no,si leve,11.37,0.056,0.692,0.136,Passeriformes,Troglodytidae,Troglodytes aedon,28,June,2011,Alerta,297,,,11,42.534,69,12.808,,,,,,,,,,,,,,,,,,,,
171424,male,100,no,0,moderate body molt,light,10.16,,,0.142,Passeriformes,Troglodytidae,Troglodytes aedon,2,July,2010,Huacapongo,309,,,8,23.211,78,38.7108,12.3,11.3,26.89,13.26,9.81,11.535,0.428969877,39.9,18.83,15.56,17.195,0.430952381,0.430154215,,,,,,2.99,143.8642859
162535,male,1,no,0,no,no,12.2,,,,Passeriformes,Troglodytidae,Troglodytes aedon,20,June,2007,Sianbal,322,,,6,38.966,76,4.362,20.2,19.2,52.37,28.92,27.59,28.255,0.539526446,52.38,28.96,27.39,28.175,0.537896144,0.538711217,,,,,,5.16,104.4013987
220453,male,80,no,0,none,trace,10.86,,,,Passeriformes,Troglodytidae,Troglodytes aedon,19,July,2014,El Huayco,346,,,12,0.542,76,55.388,6.8,5.8,18.74,5,2.07,3.535,0.188633938,24.51,6.3,3.46,4.88,0.199102407,0.194566474,,,,,,,
162989,male,100,no,0,no,si leve,11.98,,,,Passeriformes,Troglodytidae,Troglodytes aedon,8,January,2008,Huachipa-Choclo,351,,,12,0.089,76,55.249,16.3,15.3,24.74,13.44,11.6,12.52,0.506063056,10.71,6.48,4.15,5.315,0.496265173,0.503102962,,,,,,4.69,107.2714205
163018,female,100,no,0,no,light,11.31,,,,Passeriformes,Troglodytidae,Troglodytes aedon,9,January,2008,Huachipa: El Huayco,352,,,12,0.534,76,55.394,16.6,15.6,54.18,26.04,23.2,24.62,0.454411222,50.86,24.47,21.33,22.9,0.450255604,0.452399086,,,,,,4.48,100.9819389
163020,male,100,no,0,no,light,11.44,,,,Passeriformes,Troglodytidae,Troglodytes aedon,9,January,2008,Huachipa: El Huayco,352,,,12,0.534,76,55.394,17.2,16.2,60.41,28.64,25.81,27.225,0.450670419,55.7,26.7,24.11,25.405,0.456104129,0.453277065,,,,,,4.94,91.75649086
251073,male,100,not present,0,light head and neck,trace,24.03,,,,Passeriformes,Passerellidae,Zonotrichia capensis,23,January,2015,Bellavista,1607,,,11,48.133,76,37.5,,,,,,,,,,,,,,,,,,,,
163014,male,100,no,0,no,yes,11.8,,,,Passeriformes,Troglodytidae,Troglodytes aedon,9,January,2008,Huachipa: El Huayco,352,,,12,0.534,76,55.394,18.4,17.4,29.46,16.24,14.11,15.175,0.515105227,17.81,10.73,8.05,9.39,0.527231892,0.519674212,,,,,,5.2,99.93734846
251012,female,100,not present,0,head,trace,19.57,0.06,1.104,0.206,Passeriformes,Passerellidae,Zonotrichia capensis,16,January,2015,Viquil,1630,,,11,47.935,76,37.442,,,,,,,,,,,,,,,,,,,,
251006,male,80,none,0,none,trace,23.38,,,,Passeriformes,Passerellidae,Zonotrichia capensis,15,January,2015,Viquil,1643,,,11,48.124,76,37.422,,,,,,,,,,,,,,,,,,,,
168121,male,100,no,0,no,si leve,22,,,,Passeriformes,Passerellidae,Zonotrichia capensis,18,October,2008,Huachipa: El Huayco,352,,,12,0.534,76,55.394,,,30.98,17.29,12.15,,0.475145255,36.83,17.54,15.31,,0.445967961,0.459298039,,,,,,,
168180,male,100,no,0,no,si moderado,11.9,,,,Passeriformes,Troglodytidae,Troglodytes aedon,19,October,2008,Huachipa: El Huayco,352,,,12,0.534,76,55.394,,,45.24,21.19,19.42,,0.44882847,41.89,21.499,19.42,,0.488410122,0.467858373,,,,,,,
168139,male,100,no,0,no,si moderado,11.8,,,,Passeriformes,Troglodytidae,Troglodytes aedon,18,October,2008,Huachipa: El Huayco,352,,,12,0.534,76,55.394,,,47.92,23.95,21.63,,0.475584307,43.37,21.36,19.05,,0.465875029,0.470971629,,,,,,,
251067,female,100,not present ,0,light head,trace,23.49,,,,Passeriformes,Passerellidae,Zonotrichia capensis,22,January,2015,Bellavista,1645,,,11,48.133,76,37.5,,,,,,,,,,,,,,,,,,,,
168178,male,100,no,0,no,si moderado,11.8,,,,Passeriformes,Troglodytidae,Troglodytes aedon,19,October,2008,Huachipa: El Huayco,352,,,12,0.534,76,55.394,,,49.05,25.54,22.92,,0.493985729,41.48,21.8,18.9,,0.490597878,0.492433447,,,,,,,
168154,female,100,no,0,no,si moderado,10.8,,,,Passeriformes,Troglodytidae,Troglodytes aedon,19,October,2008,Huachipa: El Huayco,352,,,12,0.534,76,55.394,,,34.97,18.71,16.62,,0.505147269,36.74,19.46,17.28,,0.5,0.50251011,,,,,,,
168141,female,100,no,0,no,si abundante,11.1,,,,Passeriformes,Troglodytidae,Troglodytes aedon,18,October,2008,Huachipa: El Huayco,352,,,12,0.534,76,55.394,,,29.19,15.75,13.58,,0.502398082,16.67,9.88,7.36,,0.517096581,0.507740951,,,,,,,
251009,female,100,not present,0,none,trace,12.02,,,,Passeriformes,Troglodytidae,Troglodytes aedon,15,January,2015,Viquil,1646,,,11,48.121,76,37.389,,,,,,,,,,,,,,,,,,,,
168138,male,100,no,0,no,si moderado,11.4,,,,Passeriformes,Troglodytidae,Troglodytes aedon,18,October,2008,Huachipa: El Huayco,352,,,12,0.534,76,55.394,,,41.43,22.88,20.13,,0.519068308,34.55,18.76,16.65,,0.512445731,0.516056857,,,,,,,
168122,male,100,no,0,no,si moderado,10.7,,,,Passeriformes,Troglodytidae,Troglodytes aedon,18,October,2008,Huachipa: El Huayco,352,,,12,0.534,76,55.394,,,40.15,22.24,20.12,,0.527521793,34.69,19.57,17.24,,0.530556356,0.528928381,,,,,,,
251040,male,100,not present ,0,none,trace,10.56,,,,Passeriformes,Troglodytidae,Troglodytes aedon,19,January,2015,Viquil,1649,,,11,47.965,76,37.44,,,,,,,,,,,,,,,,,,,,
168160,male,100,no,0,no,leve,10.2,,,,Passeriformes,Troglodytidae,Troglodytes aedon,19,October,2008,Huachipa: El Huayco,352,,,12,0.534,76,55.394,,,38.08,22.57,19.65,,0.554359244,,,,,,0.554359244,,,,,,,
220408,male,100,no,0,no,leve,12.89,,,,Passeriformes,Troglodytidae,Troglodytes aedon,11,July,2014,El Huayco,353,,,12,0.527,76,55.278,,,,,,,,,,,,,,,,,,,,
171647,male,100,no,0,"wing molt p9-10, s4-5",light,10.04,,,0.126,Passeriformes,Troglodytidae,Troglodytes aedon,14,July,2010,Rio Santa,357,,,8,41.691,78,22.7166,13,12,33.61,14.15,11.81,12.98,0.386194585,31.91,14.81,10.69,12.75,0.399561266,0.392704518,,,,,,,
251079,female,100,not present ,0,light body,trace,22.4,,,,Passeriformes,Passerellidae,Zonotrichia capensis,24,January,2015,Viquil,1649,,,11,48.157,76,37.382,,,,,,,,,,,,,,,,,,,,
171628,male,100,no,0,no,light,10.58,,,0.118,Passeriformes,Troglodytidae,Troglodytes aedon,12,July,2010,Rio Santa,357,,,8,41.691,78,22.7166,14.6,13.6,20.53,11.09,8.67,9.88,0.481246956,21.47,11.32,9.62,10.47,0.487657196,0.48452381,,,,,,,
251015,male,100,not present,0,none,trace,24.4,,,,Passeriformes,Passerellidae,Zonotrichia capensis,16,January,2015,Viquil,1649,,,11,48.157,76,37.382,,,,,,,,,,,,,,,,,,,,
162997,female,60,no,0,no ,si,13.01,,,,Passeriformes,Troglodytidae,Troglodytes aedon,8,January,2008,Huachipa-Choclo,372,,,12,0.089,76,55.249,14.4,13.4,47.1,20.9,17.82,19.36,0.41104034,28.08,12.99,10.23,11.61,0.413461538,0.411944666,,,,,,4.73,87.09189559
251032,male,100,not present ,0,neck,trace,24,,,,Passeriformes,Passerellidae,Zonotrichia capensis,18,January,2015,Viquil,1652,,,11,48.249,76,37.403,,,,,,,,,,,,,,,,,,,,
220667,female,100,no,0,"Right R2, R4, R6, trace body",trace,11.8,0.048,0.552,0.118,Passeriformes,Troglodytidae,Troglodytes aedon,11,August,2014,Mal Paso,373,,,10,0.409,77,52.898,13.2,12.2,42.78,18.03,16.12,17.075,0.39913511,47.08,20.56,18.22,19.39,0.411852167,0.405797908,,,,,,,
251090,male,100,not present ,0,none,trace,10.74,,,,Passeriformes,Troglodytidae,Troglodytes aedon,25,January,2015,Viquil,1654,,,11,48.215,76,37.405,,,,,,,,,,,,,,,,,,,,
220660,female,100,no,0,tail left R6,light,9.6,0.06,0.488,0.128,Passeriformes,Troglodytidae,Troglodytes aedon,11,August,2014,Mal Paso,375,,,10,0.409,77,52.898,14.8,13.8,14.16,7.74,5.19,6.465,0.456567797,23.13,12.05,8.73,10.39,0.449200173,0.451997855,,,,,,,
220628,female,100,no,0,no,moderate,23.2,0.032,1.568,0.214,Passeriformes,Passerellidae,Zonotrichia capensis,8,August,2014,Yanaparin,723,,,9,57.518,77,48.442,16.6,15.6,33.43,16.76,14.8,15.78,0.47203111,38.78,18.74,15.86,17.3,0.44610624,0.458108295,,,,,,,
168096,female,100,no,0,no,si moderado,19.4,,,,Passeriformes,Passerellidae,Zonotrichia capensis,16,October,2008,Sisicaya,935,,,12,1.77,76,39.047,,,13.24,9.88,7.54,,0.657854985,,,,,,0.657854985,,,,,,,
220499,male,100,no,0,no,no,21.92,0.126,1.924,0.25,Passeriformes,Passerellidae,Zonotrichia capensis,27,July,2014,,1057,,,9,54.591,77,49.29,,,,,,,,,,,,,,,,,,,,
251026,female,100,not present,0,head and neck,trace,21.97,,,,Passeriformes,Passerellidae,Zonotrichia capensis,17,January,2015,Viquil,1663,,,11,47.902,76,37.41,,,,,,,,,,,,,,,,,,,,
251132,female,100,no,0,si,moderado,10.58,,,,Passeriformes,Troglodytidae,Troglodytes aedon,30,January,2015,Bellavista,1607,,,11,48.133,76,37.5,,,,,,,,,,,,,,,,,,,,
251135,male,100,no,0,none,trace,11.03,,,,Passeriformes,Troglodytidae,Troglodytes aedon,30,January,2015,Bellavista,1607,,,11,48.133,76,37.5,,,,,,,,,,,,,,,,,,,,
251121,female,100,no,0,no,moderado,12.1,0.024,0.646,0.136,Passeriformes,Troglodytidae,Troglodytes aedon,29,January,2015,Bellavista,1607,,,11,48.133,76,37.5,,,,,,,,,,,,,,,,,,,,
251156,female,90,no,0,trace body,no,12.17,,,,Passeriformes,Passerellidae,Zonotrichia capensis,2,February,2015,Bellavista,1607,,,11,48.133,76,37.5,,,,,,,,,,,,,,,,,,,,
251122,female,100,no,0,none,trace,23.16,,,,Passeriformes,Passerellidae,Zonotrichia capensis,29,January,2015,Bellavista,1607,,,11,48.133,76,37.5,,,,,,,,,,,,,,,,,,,,
251103,male,100,no,0,none,no,23.48,,,,Passeriformes,Passerellidae,Zonotrichia capensis,27,January,2015,Bellavista,1607,,,11,48.133,76,37.5,,,,,,,,,,,,,,,,,,,,
251011,female,100,no,0,light back,none,18.93,0.126,1.368,0.142,Passeriformes,Passerellidae,Zonotrichia capensis,16,January,2015,Viquil,1630,,,11,47.935,76,37.442,,,,,,,,,,,,,,,,,,,,
251078,female,100,no,0,none,trace,11.13,,,,Passeriformes,Troglodytidae,Troglodytes aedon,24,January,2015,Viquil,1645,,,11,48.138,76,37.405,,,,,,,,,,,,,,,,,,,,
251099,male,100,no,0,none,trace,12.1,,,,Passeriformes,Troglodytidae,Troglodytes aedon,26,January,2015,Viquil,1645,,,11,48.138,76,37.405,,,,,,,,,,,,,,,,,,,,
220571,,10,?,0,"no flight, moderate body",trace,11.3,0.072,0.566,0.118,Passeriformes,Troglodytidae,Troglodytes aedon,3,August,2014,Irman,1761,,,9,51.499,77,44.782,16,15,23.08,13.83,10.32,12.075,0.523180243,33.2,17.9,14.45,16.175,0.487198795,0.501954513,,,,,,,
220568,male,100,none,0,none,trace,21.93,0.148,1.512,0.284,Passeriformes,Passerellidae,Zonotrichia capensis,3,August,2014,Irman,1761,,,9,51.499,77,44.782,17.3,16.3,16.72,9.9,7.7,8.8,0.526315789,,,,,,0.526315789,,,,,,,
251066,male,100,no,0,none,trace,12.54,,,,Passeriformes,Troglodytidae,Troglodytes aedon,22,January,2015,Viquil,1645,,,11,48.138,76,37.405,,,,,,,,,,,,,,,,,,,,
251035,male,100,no,0,no,moderado,24.23,,,,Passeriformes,Passerellidae,Zonotrichia capensis,18,January,2015,Viquil,1645,,,11,48.138,76,37.405,,,,,,,,,,,,,,,,,,,,
251048,female,100,no,0,leve,moderado,24.47,,,,Passeriformes,Passerellidae,Zonotrichia capensis,20,January,2015,Viquil,1645,,,11,48.138,76,37.405,,,,,,,,,,,,,,,,,,,,
