NK,sex,skull_oss,bursa_size,bursa,molt,fat,mass,supra,pect,heart,order,family,species,day,month,year,locality,elev,elev_cat,country,lat_deg,lat_min,lon_deg,lon_min,tHb,tHbcorr,hct1_column,hct1_top,hct1_bottom,Hct-middle-calculated,Hct-ratio,hct2_column,hct2_top,hct2_bottom,2ndHct-middle-calculated,2nd_Hct_ratio,wtAVG-Hct,Hemacytometer_RBC_sum_of_5grids,count notes,x5x,x10000,x200_dilution,RBCx10^6mm^3,MCV
251879,,,,,,,,,,,Passeriformes,Troglodytidae,Troglodytes aedon,28,July,2015,Contunapampa,4135,,,11,45.964,76,31.665,,,,,,,,,,,,,,,,,,,,
163109,female,100% ossified,no bursa,0,no molt,light,22.5,,,,Passeriformes,Passerellidae,Zonotrichia capensis,16,January,2008,Carampoma,3981,,,11,37.667,76,26.047,20.9,19.9,38.5,23.36,21.37,22.365,0.580909091,33.06,20.63,18.06,19.345,0.585148215,0.582867524,,,,,,5.76,101.1922784
251880,,,,,,,,,,,Passeriformes,Troglodytidae,Troglodytes aedon,29,July,2015,Contunapampa,4140,,,11,45.962,76,31.718,,,,,,,,,,,,,,,,,,,,
173819,male,100% ossified,no bursa,0,no molt,light,23.64,0.114,1.55,0.254,Passeriformes,Passerellidae,Zonotrichia capensis,16,May,2011,Macate,3997,,,8,45.1416,78,2.0412,19.3,18.3,46.51,27.44,25.01,,0.563857235,27.96,17.19,14.46,,0.565987124,0.564656909,,,,,,4.75,118.8751387
168256,female,100% ossified,no bursa,0,no molt,si,22.24,,,,Passeriformes,Passerellidae,Zonotrichia capensis,3,March,2009,Cordillera Vilcanota,4030,,,13,11.285,72,13.882,19.9,18.9,37.77,21.53,19.7,20.615,0.545803548,36.63,18.97,16.99,17.98,0.490854491,0.51875,,,,,,,
168724,male,100% ossified,no bursa,0,no molt,moderado,20.5,,,,Passeriformes,Passerellidae,Zonotrichia capensis,3,October,2009,San Pedro de Casta - Potago,4079,,,11,46.124,76,32.091,,,31.53,14.16,12.83,13.495,0.428005075,30.58,13.66,11.45,12.555,0.410562459,0.419417163,,,,,,4.57,91.77618449
168725,male,100% ossified,no bursa,0,no molt,moderado,21.2,,,,Passeriformes,Passerellidae,Zonotrichia capensis,3,October,2009,San Pedro de Casta - Potago,4079,,,11,46.124,76,32.091,,,26.13,14.81,12.95,13.88,0.531190203,25.46,14.2,12.64,13.42,0.527101335,0.52917232,,,,,,4.41,119.9937234
168726,male,100% ossified,no bursa,0,no molt,moderado,23.8,,,,Passeriformes,Passerellidae,Zonotrichia capensis,3,October,2009,San Pedro de Casta - Potago,4079,,,11,46.124,76,32.091,,,24.03,15.9,13.58,14.74,0.613399917,31.14,17.31,15.6,16.455,0.528420039,0.565434113,,,,,,4.7,120.3051304
168715,female,100% ossified,no bursa,0,no molt,moderado,23.5,,,,Passeriformes,Passerellidae,Zonotrichia capensis,1,October,2009,San Pedro de Casta - Potago,4082,,,11,46.108,76,31.995,18.2,17.2,28.71,15.34,13.54,14.44,0.502960641,32.12,16.63,14.44,15.535,0.483655044,0.492766727,,,,,,5.04,97.77117598
168660,male,100% ossified,no bursa,0,no molt,moderado,24.3,,,,Passeriformes,Passerellidae,Zonotrichia capensis,25,September,2009,San Pedro de Casta - Potago,4088,,,11,46.114,76,31.996,19.2,18.2,30.68,16.52,15.74,16.13,0.525749674,36.23,19.49,18.35,18.92,0.522219155,0.523837991,,,,,,4.73,110.7479897
